,human,machine
9063,thursday june 10 2010,2010-06-10
9064,22.08.85,1985-08-22
9065,monday march 18 2013,2013-03-18
9066,tuesday september 10 1996,1996-09-10
9067,1 11 07,2007-11-01
9068,saturday may 7 1977,1977-05-07
9069,tuesday april 5 1983,1983-04-05
9070,31.12.78,1978-12-31
9071,monday may 3 1999,1999-05-03
9072,june 9 1985,1985-06-09
9073,thursday april 26 2007,2007-04-26
9074,thursday september 24 2009,2009-09-24
9075,thursday october 23 2008,2008-10-23
9076,3/6/88,1988-03-06
9077,december 15 1993,1993-12-15
9078,april 9 1976,1976-04-09
9079,15 feb 1979,1979-02-15
9080,20 september 2008,2008-09-20
9081,02 mar 1997,1997-03-02
9082,23 mar 2017,2017-03-23
9083,4 jul 1985,1985-07-04
9084,july 19 1990,1990-07-19
9085,monday october 11 1993,1993-10-11
9086,wednesday august 13 1980,1980-08-13
9087,25 may 1991,1991-05-25
9088,13 november 2013,2013-11-13
9089,14 feb 1983,1983-02-14
9090,26 dec 1978,1978-12-26
9091,tuesday may 26 2009,2009-05-26
9092,monday november 30 1998,1998-11-30
9093,05 may 2003,2003-05-05
9094,17 march 2011,2011-03-17
9095,21 december 2000,2000-12-21
9096,november 3 2004,2004-11-03
9097,tuesday june 12 1984,1984-06-12
9098,saturday february 3 2018,2018-02-03
9099,29 aug 1984,1984-08-29
9100,thursday november 17 2011,2011-11-17
9101,monday may 24 1982,1982-05-24
9102,24 january 1992,1992-01-24
9103,friday august 16 1985,1985-08-16
9104,thursday august 25 2011,2011-08-25
9105,friday october 14 2016,2016-10-14
9106,january 13 1999,1999-01-13
9107,december 5 1971,1971-12-05
9108,july 13 1980,1980-07-13
9109,2 may 2016,2016-05-02
9110,12/19/84,1984-12-19
9111,thursday may 28 1998,1998-05-28
9112,11 february 1988,1988-02-11
9113,monday august 30 1993,1993-08-30
9114,december 12 1997,1997-12-12
9115,17 10 15,2015-10-17
9116,thursday january 18 2007,2007-01-18
9117,3 december 1981,1981-12-03
9118,monday june 19 2006,2006-06-19
9119,10 july 2012,2012-07-10
9120,6 september 1984,1984-09-06
9121,march 5 1990,1990-03-05
9122,2/20/15,2015-02-20
9123,26 apr 2006,2006-04-26
9124,1 may 2000,2000-05-01
9125,wednesday april 27 2011,2011-04-27
9126,thursday september 15 1988,1988-09-15
9127,thursday july 16 1970,1970-07-16
9128,thursday july 16 1970,1970-07-16
9129,16.07.12,2012-07-16
9130,august 8 1990,1990-08-08
9131,sunday june 16 1996,1996-06-16
9132,21 mar 2001,2001-03-21
9133,sep 2 1983,1983-09-02
9134,tuesday april 17 2001,2001-04-17
9135,october 18 1991,1991-10-18
9136,24 september 1991,1991-09-24
9137,june 15 1998,1998-06-15
9138,november 16 2011,2011-11-16
9139,february 11 1984,1984-02-11
9140,09 apr 2017,2017-04-09
9141,8 05 00,2000-05-08
9142,tuesday august 18 1981,1981-08-18
9143,17 04 02,2002-04-17
9144,05 feb 1998,1998-02-05
9145,december 23 2011,2011-12-23
9146,saturday november 15 2008,2008-11-15
9147,26.12.09,2009-12-26
9148,30 january 2007,2007-01-30
9149,wednesday february 20 1980,1980-02-20
9150,thursday august 28 1986,1986-08-28
9151,19.11.01,2001-11-19
9152,11 04 84,1984-04-11
9153,14 september 2003,2003-09-14
9154,july 19 2009,2009-07-19
9155,thursday march 31 2011,2011-03-31
9156,saturday march 6 1993,1993-03-06
9157,april 23 2008,2008-04-23
9158,friday march 20 1970,1970-03-20
9159,november 25 2011,2011-11-25
9160,november 28 1996,1996-11-28
9161,tuesday november 6 2001,2001-11-06
9162,tuesday february 25 2014,2014-02-25
9163,thursday may 17 2001,2001-05-17
9164,saturday november 14 1987,1987-11-14
9165,2 jun 2017,2017-06-02
9166,15 oct 1997,1997-10-15
9167,july 21 1976,1976-07-21
9168,sep 2 1995,1995-09-02
9169,march 20 1999,1999-03-20
9170,27.10.02,2002-10-27
9171,31 08 93,1993-08-31
9172,tuesday october 14 1986,1986-10-14
9173,18 oct 1974,1974-10-18
9174,may 8 1988,1988-05-08
9175,12.08.09,2009-08-12
9176,friday april 24 2009,2009-04-24
9177,15 august 1971,1971-08-15
9178,thursday january 22 1998,1998-01-22
9179,19 july 1980,1980-07-19
9180,09.01.13,2013-01-09
9181,29 july 1998,1998-07-29
9182,3/31/77,1977-03-31
9183,6 01 74,1974-01-06
9184,saturday july 27 1991,1991-07-27
9185,12 07 96,1996-07-12
9186,saturday june 22 1985,1985-06-22
9187,tuesday march 22 1983,1983-03-22
9188,tuesday october 28 1997,1997-10-28
9189,14 feb 1988,1988-02-14
9190,friday april 18 2014,2014-04-18
9191,22 april 2004,2004-04-22
9192,monday february 21 2011,2011-02-21
9193,monday october 3 1977,1977-10-03
9194,16 june 1980,1980-06-16
9195,saturday august 31 1974,1974-08-31
9196,saturday december 31 2005,2005-12-31
9197,21 november 1980,1980-11-21
9198,wednesday march 18 2015,2015-03-18
9199,jan 1 1986,1986-01-01
9200,10.01.73,1973-01-10
9201,04.11.86,1986-11-04
9202,tuesday january 14 2003,2003-01-14
9203,25 december 1979,1979-12-25
9204,thursday august 13 2009,2009-08-13
9205,wednesday january 9 2008,2008-01-09
9206,tuesday november 2 1999,1999-11-02
9207,23.11.14,2014-11-23
9208,1 february 2010,2010-02-01
9209,tuesday may 5 1981,1981-05-05
9210,march 18 2017,2017-03-18
9211,27 jan 2007,2007-01-27
9212,17 01 71,1971-01-17
9213,1 06 92,1992-06-01
9214,jul 27 1997,1997-07-27
9215,5 jan 2007,2007-01-05
9216,monday may 31 1971,1971-05-31
9217,14 dec 1970,1970-12-14
9218,2 january 2011,2011-01-02
9219,5 july 1972,1972-07-05
9220,monday october 6 2014,2014-10-06
9221,sunday august 8 1993,1993-08-08
9222,8 march 2007,2007-03-08
9223,friday may 3 1996,1996-05-03
9224,01 sep 2008,2008-09-01
9225,2 july 1988,1988-07-02
9226,6 jul 2001,2001-07-06
9227,23 oct 1980,1980-10-23
9228,aug 2 2006,2006-08-02
9229,saturday september 17 1988,1988-09-17
9230,thursday may 22 1975,1975-05-22
9231,25 april 2001,2001-04-25
9232,10 jul 1973,1973-07-10
9233,october 19 1983,1983-10-19
9234,11/4/70,1970-11-04
9235,sunday august 24 1986,1986-08-24
9236,saturday april 3 2004,2004-04-03
9237,september 3 1977,1977-09-03
9238,4/30/96,1996-04-30
9239,17 january 1984,1984-01-17
9240,may 8 2006,2006-05-08
9241,july 8 1979,1979-07-08
9242,6/24/87,1987-06-24
9243,saturday march 1 1997,1997-03-01
9244,20 jan 2009,2009-01-20
9245,sunday september 25 1983,1983-09-25
9246,september 30 2000,2000-09-30
9247,28 december 1983,1983-12-28
9248,2 may 1990,1990-05-02
9249,3/2/89,1989-03-02
9250,4/12/14,2014-04-12
9251,16 jan 1982,1982-01-16
9252,jul 15 2011,2011-07-15
9253,july 29 1991,1991-07-29
9254,friday november 2 1990,1990-11-02
9255,5 12 89,1989-12-05
9256,thursday march 1 2007,2007-03-01
9257,december 2 1975,1975-12-02
9258,23 03 00,2000-03-23
9259,thursday october 26 1972,1972-10-26
9260,18 may 1971,1971-05-18
9261,6 march 2007,2007-03-06
9262,24 july 2014,2014-07-24
9263,31.07.92,1992-07-31
9264,march 26 1996,1996-03-26
9265,july 12 1982,1982-07-12
9266,saturday may 13 1995,1995-05-13
9267,08 aug 2010,2010-08-08
9268,may 4 1981,1981-05-04
9269,thursday february 28 2002,2002-02-28
9270,wednesday may 21 1986,1986-05-21
9271,may 28 1979,1979-05-28
9272,14 mar 2011,2011-03-14
9273,june 25 1984,1984-06-25
9274,monday november 25 2002,2002-11-25
9275,monday november 30 2015,2015-11-30
9276,monday july 10 2000,2000-07-10
9277,saturday march 15 1980,1980-03-15
9278,19 september 1978,1978-09-19
9279,august 18 1979,1979-08-18
9280,jun 17 2014,2014-06-17
9281,friday february 17 2006,2006-02-17
9282,saturday march 8 1975,1975-03-08
9283,friday november 24 2006,2006-11-24
9284,29 mar 1972,1972-03-29
9285,friday october 21 1988,1988-10-21
9286,16 may 2016,2016-05-16
9287,july 18 2006,2006-07-18
9288,04 jun 1995,1995-06-04
9289,saturday march 24 1990,1990-03-24
9290,monday march 27 1989,1989-03-27
9291,saturday december 10 2011,2011-12-10
9292,june 18 2011,2011-06-18
9293,monday october 7 2013,2013-10-07
9294,29 june 1970,1970-06-29
9295,november 15 1991,1991-11-15
9296,june 15 1979,1979-06-15
9297,23 jun 1992,1992-06-23
9298,friday october 9 2009,2009-10-09
9299,friday december 31 1993,1993-12-31
9300,12 nov 1984,1984-11-12
9301,thursday september 20 1979,1979-09-20
9302,wednesday july 18 2007,2007-07-18
9303,29 october 1989,1989-10-29
9304,thursday november 13 2014,2014-11-13
9305,wednesday february 28 1973,1973-02-28
9306,30 nov 1994,1994-11-30
9307,27 dec 1983,1983-12-27
9308,31 july 1977,1977-07-31
9309,8 november 2011,2011-11-08
9310,3/11/92,1992-03-11
9311,monday august 16 1982,1982-08-16
9312,monday september 21 2009,2009-09-21
9313,friday june 20 2003,2003-06-20
9314,friday july 18 2014,2014-07-18
9315,friday june 15 2007,2007-06-15
9316,thursday october 31 1996,1996-10-31
9317,september 19 1980,1980-09-19
9318,20 apr 1986,1986-04-20
9319,friday january 2 2009,2009-01-02
9320,sunday may 14 1989,1989-05-14
9321,august 13 1976,1976-08-13
9322,monday january 20 2003,2003-01-20
9323,10 02 08,2008-02-10
9324,may 16 1997,1997-05-16
9325,friday june 24 2016,2016-06-24
9326,thursday january 12 1978,1978-01-12
9327,february 4 2010,2010-02-04
9328,tuesday january 10 1984,1984-01-10
9329,august 6 1995,1995-08-06
9330,23 may 1985,1985-05-23
9331,20 february 2012,2012-02-20
9332,9 december 2002,2002-12-09
9333,apr 1 1979,1979-04-01
9334,friday september 8 2006,2006-09-08
9335,friday july 30 1976,1976-07-30
9336,12 nov 2010,2010-11-12
9337,3 dec 2012,2012-12-03
9338,saturday january 5 1980,1980-01-05
9339,24 jul 1985,1985-07-24
9340,16 dec 1976,1976-12-16
9341,1 may 1970,1970-05-01
9342,25 january 1970,1970-01-25
9343,25 apr 2016,2016-04-25
9344,2 08 89,1989-08-02
9345,18 mar 1974,1974-03-18
9346,thursday september 10 2015,2015-09-10
9347,10/5/10,2010-10-05
9348,tuesday april 18 2006,2006-04-18
9349,may 10 1999,1999-05-10
9350,january 7 1980,1980-01-07
9351,28 jul 2010,2010-07-28
9352,27 oct 1978,1978-10-27
9353,wednesday november 21 1979,1979-11-21
9354,18 may 1983,1983-05-18
9355,november 15 2009,2009-11-15
9356,monday july 20 1987,1987-07-20
9357,18 sep 2005,2005-09-18
9358,wednesday september 3 2008,2008-09-03
9359,23 december 2009,2009-12-23
9360,friday december 2 2005,2005-12-02
9361,21 may 2006,2006-05-21
9362,2/18/91,1991-02-18
9363,08 sep 2004,2004-09-08
9364,february 28 1980,1980-02-28
9365,4/20/93,1993-04-20
9366,2 oct 2001,2001-10-02
9367,21 october 1974,1974-10-21
9368,03.10.79,1979-10-03
9369,05 apr 1989,1989-04-05
9370,saturday february 9 1991,1991-02-09
9371,15 aug 1970,1970-08-15
9372,23 02 18,2018-02-23
9373,25 june 1984,1984-06-25
9374,thursday may 23 1974,1974-05-23
9375,thursday june 10 1982,1982-06-10
9376,18 nov 2007,2007-11-18
9377,16.06.74,1974-06-16
9378,january 27 2009,2009-01-27
9379,5 may 2007,2007-05-05
9380,sunday august 2 1998,1998-08-02
9381,may 3 1978,1978-05-03
9382,december 20 1971,1971-12-20
9383,18 october 1984,1984-10-18
9384,17 jan 2005,2005-01-17
9385,december 5 1983,1983-12-05
9386,sunday august 22 1993,1993-08-22
9387,monday december 23 2013,2013-12-23
9388,monday october 20 1997,1997-10-20
9389,friday october 30 1998,1998-10-30
9390,thursday january 29 1976,1976-01-29
9391,june 16 1988,1988-06-16
9392,tuesday december 22 1970,1970-12-22
9393,12 september 1997,1997-09-12
9394,saturday november 21 1981,1981-11-21
9395,sunday december 16 2001,2001-12-16
9396,thursday june 28 2001,2001-06-28
9397,monday june 17 2002,2002-06-17
9398,5/18/99,1999-05-18
9399,22 november 1981,1981-11-22
9400,02 jul 1998,1998-07-02
9401,13 jul 1975,1975-07-13
9402,sunday august 20 1989,1989-08-20
9403,7 february 1986,1986-02-07
9404,monday october 12 1981,1981-10-12
9405,monday august 4 2008,2008-08-04
9406,december 15 1980,1980-12-15
9407,friday january 18 1991,1991-01-18
9408,6 mar 1975,1975-03-06
9409,november 6 1980,1980-11-06
9410,14 jun 1979,1979-06-14
9411,april 14 1988,1988-04-14
9412,21 january 1991,1991-01-21
9413,8 march 1978,1978-03-08
9414,22 09 77,1977-09-22
9415,wednesday march 16 1994,1994-03-16
9416,monday february 1 2016,2016-02-01
9417,wednesday april 14 1971,1971-04-14
9418,tuesday november 8 2016,2016-11-08
9419,may 26 1971,1971-05-26
9420,thursday november 29 2001,2001-11-29
9421,30 apr 2015,2015-04-30
9422,october 16 2007,2007-10-16
9423,26 april 1975,1975-04-26
9424,14.12.09,2009-12-14
9425,wednesday july 16 2008,2008-07-16
9426,friday may 2 1986,1986-05-02
9427,march 11 1987,1987-03-11
9428,sunday january 14 2018,2018-01-14
9429,02 jun 1987,1987-06-02
9430,18 april 1980,1980-04-18
9431,19 september 1971,1971-09-19
9432,5 sep 1980,1980-09-05
9433,sunday june 16 1991,1991-06-16
9434,31 may 1984,1984-05-31
9435,1 october 2001,2001-10-01
9436,sunday july 19 1992,1992-07-19
9437,nov 22 1980,1980-11-22
9438,october 25 1998,1998-10-25
9439,thursday march 6 2003,2003-03-06
9440,nov 20 2015,2015-11-20
9441,09.03.14,2014-03-09
9442,11 aug 2008,2008-08-11
9443,10 july 1984,1984-07-10
9444,28 february 1982,1982-02-28
9445,saturday august 22 1970,1970-08-22
9446,wednesday august 1 2012,2012-08-01
9447,thursday october 22 1970,1970-10-22
9448,saturday august 13 1977,1977-08-13
9449,6 april 1990,1990-04-06
9450,19.09.10,2010-09-19
9451,friday august 1 2008,2008-08-01
9452,saturday november 6 2004,2004-11-06
9453,wednesday january 18 2017,2017-01-18
9454,friday april 18 2008,2008-04-18
9455,wednesday january 5 2005,2005-01-05
9456,wednesday september 21 2005,2005-09-21
9457,sunday july 30 2006,2006-07-30
9458,friday august 7 1998,1998-08-07
9459,02 jun 2000,2000-06-02
9460,tuesday august 26 1997,1997-08-26
9461,thursday april 3 1997,1997-04-03
9462,24 nov 2017,2017-11-24
9463,wednesday august 10 1994,1994-08-10
9464,thursday july 20 1972,1972-07-20
9465,thursday may 20 1976,1976-05-20
9466,monday august 10 1987,1987-08-10
9467,tuesday september 27 2011,2011-09-27
9468,08 dec 2017,2017-12-08
9469,24 sep 1992,1992-09-24
9470,20 january 2013,2013-01-20
9471,november 22 1988,1988-11-22
9472,wednesday december 10 1986,1986-12-10
9473,nov 18 2015,2015-11-18
9474,monday august 20 1979,1979-08-20
9475,1/17/16,2016-01-17
9476,saturday april 5 2003,2003-04-05
9477,30 mar 1973,1973-03-30
9478,thursday october 16 2014,2014-10-16
9479,saturday november 17 1973,1973-11-17
9480,12 june 1974,1974-06-12
9481,9/13/09,2009-09-13
9482,wednesday april 16 1986,1986-04-16
9483,friday april 5 2013,2013-04-05
9484,1/11/15,2015-01-11
9485,tuesday january 31 1989,1989-01-31
9486,thursday june 15 2006,2006-06-15
9487,wednesday february 20 1985,1985-02-20
9488,september 23 1998,1998-09-23
9489,monday november 27 2006,2006-11-27
9490,july 29 1973,1973-07-29
9491,thursday june 7 2007,2007-06-07
9492,monday february 12 2007,2007-02-12
9493,02.04.90,1990-04-02
9494,10/15/03,2003-10-15
9495,friday may 8 1981,1981-05-08
9496,tuesday march 10 1992,1992-03-10
9497,sunday august 2 1998,1998-08-02
9498,wednesday august 16 1989,1989-08-16
9499,august 29 2000,2000-08-29
9500,saturday june 18 2016,2016-06-18
9501,may 19 1982,1982-05-19
9502,monday december 31 2012,2012-12-31
9503,10 nov 2012,2012-11-10
9504,friday march 3 1995,1995-03-03
9505,october 26 2015,2015-10-26
9506,26 august 2013,2013-08-26
9507,saturday august 21 1999,1999-08-21
9508,tuesday september 1 2009,2009-09-01
9509,16 dec 2015,2015-12-16
9510,october 29 1979,1979-10-29
9511,june 6 2005,2005-06-06
9512,sep 28 1986,1986-09-28
9513,november 18 1992,1992-11-18
9514,30 january 1996,1996-01-30
9515,27 aug 1976,1976-08-27
9516,sunday december 8 1996,1996-12-08
9517,monday june 5 1978,1978-06-05
9518,tuesday july 11 2000,2000-07-11
9519,thursday february 1 2007,2007-02-01
9520,november 22 1988,1988-11-22
9521,18 06 10,2010-06-18
9522,wednesday october 27 1982,1982-10-27
9523,07 sep 1994,1994-09-07
9524,saturday january 20 1990,1990-01-20
9525,monday march 3 1997,1997-03-03
9526,1 01 86,1986-01-01
9527,19.05.84,1984-05-19
9528,saturday october 25 1986,1986-10-25
9529,6 mar 2004,2004-03-06
9530,january 18 2014,2014-01-18
9531,15 08 93,1993-08-15
9532,sunday may 9 1982,1982-05-09
9533,saturday december 8 2012,2012-12-08
9534,saturday august 17 1996,1996-08-17
9535,04.08.72,1972-08-04
9536,june 28 1997,1997-06-28
9537,thursday august 24 2006,2006-08-24
9538,12/21/72,1972-12-21
9539,30 may 1987,1987-05-30
9540,sunday december 20 1998,1998-12-20
9541,thursday july 13 1978,1978-07-13
9542,sunday february 19 2006,2006-02-19
9543,february 2 1977,1977-02-02
9544,saturday april 6 1974,1974-04-06
9545,29 march 1982,1982-03-29
9546,july 4 2007,2007-07-04
9547,monday august 13 1990,1990-08-13
9548,thursday june 28 1973,1973-06-28
9549,sunday august 16 1970,1970-08-16
9550,sunday february 8 1987,1987-02-08
9551,6 nov 2017,2017-11-06
9552,sunday january 13 1991,1991-01-13
9553,8 july 1971,1971-07-08
9554,23.04.71,1971-04-23
9555,march 8 1983,1983-03-08
9556,7/24/70,1970-07-24
9557,sunday march 25 2012,2012-03-25
9558,august 13 1982,1982-08-13
9559,december 12 2009,2009-12-12
9560,saturday january 19 1980,1980-01-19
9561,mar 17 1972,1972-03-17
9562,saturday november 5 2011,2011-11-05
9563,march 12 1984,1984-03-12
9564,monday december 1 1986,1986-12-01
9565,june 20 1997,1997-06-20
9566,saturday february 19 2011,2011-02-19
9567,14 07 11,2011-07-14
9568,saturday july 31 1976,1976-07-31
9569,saturday december 21 2013,2013-12-21
9570,04 sep 1984,1984-09-04
9571,thursday november 3 1988,1988-11-03
9572,friday april 18 2008,2008-04-18
9573,friday october 5 2001,2001-10-05
9574,8 04 78,1978-04-08
9575,tuesday december 19 2017,2017-12-19
9576,2/8/97,1997-02-08
9577,7 11 98,1998-11-07
9578,dec 17 2004,2004-12-17
9579,2 april 2013,2013-04-02
9580,9/15/71,1971-09-15
9581,wednesday august 17 2016,2016-08-17
9582,sep 2 2003,2003-09-02
9583,monday february 20 1978,1978-02-20
9584,7 may 2002,2002-05-07
9585,20 july 1973,1973-07-20
9586,12 apr 2014,2014-04-12
9587,24 july 2017,2017-07-24
9588,9 oct 2005,2005-10-09
9589,6 march 1997,1997-03-06
9590,march 17 1974,1974-03-17
9591,tuesday january 24 2017,2017-01-24
9592,18 08 02,2002-08-18
9593,sunday july 1 1990,1990-07-01
9594,tuesday november 4 1980,1980-11-04
9595,saturday december 17 2016,2016-12-17
9596,30.01.01,2001-01-30
9597,7/14/86,1986-07-14
9598,9/28/02,2002-09-28
9599,october 14 1977,1977-10-14
9600,11 mar 1988,1988-03-11
9601,26 jun 1999,1999-06-26
9602,march 15 2009,2009-03-15
9603,wednesday october 7 2009,2009-10-07
9604,march 23 1981,1981-03-23
9605,tuesday april 19 2005,2005-04-19
9606,saturday january 9 2016,2016-01-09
9607,thursday february 10 2011,2011-02-10
9608,september 26 1998,1998-09-26
9609,5/16/06,2006-05-16
9610,tuesday march 9 1993,1993-03-09
9611,saturday september 26 2015,2015-09-26
9612,january 21 1978,1978-01-21
9613,24 march 1997,1997-03-24
9614,friday august 10 2012,2012-08-10
9615,saturday march 14 1998,1998-03-14
9616,saturday may 7 1994,1994-05-07
9617,monday may 4 1981,1981-05-04
9618,monday august 7 1972,1972-08-07
9619,27 june 1992,1992-06-27
9620,monday december 8 2003,2003-12-08
9621,thursday may 18 2006,2006-05-18
9622,tuesday november 6 2001,2001-11-06
9623,friday april 4 2014,2014-04-04
9624,01.10.79,1979-10-01
9625,may 10 1987,1987-05-10
9626,thursday january 14 2016,2016-01-14
9627,monday september 11 1978,1978-09-11
9628,saturday december 28 1974,1974-12-28
9629,thursday june 6 1996,1996-06-06
9630,27.04.80,1980-04-27
9631,friday august 12 1977,1977-08-12
9632,2 05 90,1990-05-02
9633,monday july 17 1972,1972-07-17
9634,30 11 72,1972-11-30
9635,monday may 29 2000,2000-05-29
9636,thursday april 29 2004,2004-04-29
9637,sunday may 18 1980,1980-05-18
9638,25 jan 1999,1999-01-25
9639,tuesday april 16 2002,2002-04-16
9640,16 apr 2008,2008-04-16
9641,1 nov 2009,2009-11-01
9642,jan 15 2003,2003-01-15
9643,30 jun 1988,1988-06-30
9644,5/28/04,2004-05-28
9645,15 aug 1986,1986-08-15
9646,26 mar 2011,2011-03-26
9647,friday december 19 2008,2008-12-19
9648,saturday february 1 2014,2014-02-01
9649,4/26/94,1994-04-26
9650,september 30 2004,2004-09-30
9651,27 october 1982,1982-10-27
9652,friday april 11 2008,2008-04-11
9653,tuesday october 21 1997,1997-10-21
9654,12 04 84,1984-04-12
9655,thursday february 26 2004,2004-02-26
9656,07 jul 1984,1984-07-07
9657,04 jul 1991,1991-07-04
9658,tuesday february 12 1974,1974-02-12
9659,8/14/85,1985-08-14
9660,10 jul 2015,2015-07-10
9661,january 17 2017,2017-01-17
9662,24 march 1986,1986-03-24
9663,september 6 1986,1986-09-06
9664,09 jul 2010,2010-07-09
9665,friday september 28 2012,2012-09-28
